SMILES,CANON_SMILES,MolecularFormula,MolecularWeight,Exp_logp
C1OCc2ccccc12,c1ccc2c(c1)COC2,C8H8O,120.151,1.76
C1Cc2ccccc2O1,c1ccc2c(c1)CCO2,C8H8O,120.151,2.14
OC(=O)c1oc2ccccc2c1,O=C(O)c1cc2ccccc2o1,C9H6O3,162.144,2.41
CC(C)C(Br)C(=O)NC(N)=O,CC(C)C(Br)C(=O)NC(N)=O,C6H11BrN2O2,223.07,1.14
Cc1ccc(N)c(N)c1,Cc1ccc(N)c(N)c1,C7H10N2,122.171,0.66
O=C1OCC=C1,O=C1C=CCO1,C4H4O2,84.074,-0.6
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,C12H16O7,272.253,-1.35
O=Cc1cocc1,O=Cc1ccoc1,C5H4O2,96.085,0.51
O=Cc1cscc1,O=Cc1ccsc1,C5H4OS,112.153,1.01
C1CC2CC1C=C2,C1=CC2CCC1C2,C7H10,94.157,3.24
OC(=O)C1CCNCC1,O=C(O)C1CCNCC1,C6H11NO2,129.159,-3.05
OC(=O)C1CCCNC1,O=C(O)C1CCCNC1,C6H11NO2,129.159,-2.89
CC(C)c1ccc(C)c(O)c1,Cc1ccc(C(C)C)cc1O,C10H14O,150.221,3.49
O=Cc1cccnc1,O=Cc1cccnc1,C6H5NO,107.112,0.29
N(=O)(=O)c1ccc(OP(=S)(OC)OC)cc1Cl,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,C8H9ClNO5PS,297.656,3.45
NC(=N)NC(=N)Nc1ccc(Cl)cc1,N=C(N)NC(=N)Nc1ccc(Cl)cc1,C8H10ClN5,211.656,2.53
COc1cc(O)cc(OC)c1,COc1cc(O)cc(OC)c1,C8H10O3,154.165,1.64
OC(=O)CCc1ccccc1,O=C(O)CCc1ccccc1,C9H10O2,150.177,1.84
c1ccc(cc1)C#Cc2ccccc2,C(#Cc1ccccc1)c1ccccc1,C14H10,178.234,4.78
OC(=O)Cc1ccc(cc1)C(O)=O,O=C(O)Cc1ccc(C(=O)O)cc1,C9H8O4,180.159,1.24
OC(=O)CCc1ccc(O)cc1,O=C(O)CCc1ccc(O)cc1,C9H10O3,166.176,1.16
Oc1ccc(C=CC(=O)(O))cc1,O=C(O)C=Cc1ccc(O)cc1,C9H8O3,164.16,1.79
CCCCC(=O)CCCC,CCCCC(=O)CCCC,C9H18O,142.242,2.88
FCC1CO1,FCC1CO1,C3H5FO,76.07,-0.16
CC#CC,CC#CC,C4H6,54.092,1.46
C1COC1,C1COC1,C3H6O,58.08,-0.14
CC(C)CC(O)=O,CC(C)CC(=O)O,C5H10O2,102.133,1.16
Nc1ccncc1,Nc1ccncc1,C5H6N2,94.117,0.32
Nc1ccccn1,Nc1ccccn1,C5H6N2,94.117,0.48
OCCCO,OCCCO,C3H8O2,76.095,-1.04
COC(=O)C=CC#CC#CC=CC,CC=CC#CC#CC=CC(=O)OC,C11H10O2,174.199,2.45
CCCCCCCCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.538,9.29
CCCCCC=CCC=CCC=CCC=CCCCC(O)=O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,C20H32O2,304.474,6.98
CC(C)(O)C(F)(F)F,CC(C)(O)C(F)(F)F,C4H7F3O,128.093,1.04
CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2C5=CC(=O)OC5,CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2C1=CC(=O)OC1,C23H34O8,438.517,-0.02
CC1CCC2C(OC(=O)C2=C)C3(C)C(=O)C=CC13O,C=C1C(=O)OC2C1CCC(C)C1(O)C=CC(=O)C21C,C15H18O4,262.305,0.77
C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,C29H42O10,550.645,-0.48
CO[C@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)O[C@H](C)[C@H]1O,C30H44O9,548.673,0.64
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,C23H31NO2,353.506,4.27
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,C13H18N2O3,250.298,2.03
CC1CCC2C(OC(=O)C2=C)C3(C)C1C=CC3=O,C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C,C15H18O3,246.306,1.03
CCOC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,C16H14Cl2O3,325.191,4.74
CO[P+](O)(OC)OC,CO[P+](O)(OC)OC,C3H10O4P+,141.083,-0.65
CCCO[P](=O)(OCCC)OCCC,CCCOP(=O)(OCCC)OCCC,C9H21O4P,224.237,1.87
CC=C(C)C,CC=C(C)C,C5H10,70.135,2.67
CCC(C)N,CCC(C)N,C4H11N,73.139,0.74
CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC12C,CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,C19H28O2,288.431,2.99
OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,C21H29NO,311.469,4.25
CC1(C)C2CC=C(CO)C1C2,CC1(C)C2CC=C(CO)C1C2,C10H16O,152.237,3.22
CC(O)(C(O)=O)c1ccccc1,CC(O)(C(=O)O)c1ccccc1,C9H10O3,166.176,0.8
Cc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(C)n1,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,C12H14N4O2S,278.337,-0.33
CCOC(=O)C(Cl)(Cl)Cl,CCOC(=O)C(Cl)(Cl)Cl,C4H5Cl3O2,191.441,2.39
OC(=O)c1c(C(O)=O)c(C(O)=O)c(C(O)=O)c(C(O)=O)c1C(O)=O,O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O,C12H6O12,342.168,1.5
CC(=O)N(c1ccccc1)c2ccccc2,CC(=O)N(c1ccccc1)c1ccccc1,C14H13NO,211.264,2.02
O=C1N(c2ccccc2)C(=O)c3ccccc13,O=C1c2ccccc2C(=O)N1c1ccccc1,C14H9NO2,223.231,2.4
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,C28H32O15,608.549,0.14
COc1ccc(cc1O)C2CC(=O)c3c(O)cc(O)cc3O2,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,C16H14O6,302.282,2.6
COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O)cc3O2,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,C16H12O6,300.266,3.1
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O5,270.24,3.02
CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,C19H30O2,290.447,3.55
CCN(CC)C(C)CN1c2ccccc2Sc3ccccc13,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,C19H24N2S,312.482,4.77
CN(C)CCN1c2ccccc2Sc3ccccc13,CN(C)CCN1c2ccccc2Sc2ccccc21,C16H18N2S,270.401,4.2
O=C1Oc2c(C=C1)ccc3occc23,O=c1ccc2ccc3occc3c2o1,C11H6O3,186.166,2.08
CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,C16H21NO2,259.349,3.48
CN1CCC=C1c2cccnc2,CN1CCC=C1c1cccnc1,C10H12N2,160.22,1.13
O=C1C=C(Oc2ccccc12)c3ccccc3,O=c1cc(-c2ccccc2)oc2ccccc12,C15H10O2,222.243,3.56
CCCCCCCC(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,CCCCCCCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,C16H26N2O4S,342.461,3.32
Nc1ccc(cc1)[S](=O)(=O)Nc2ccnn2c3ccccc3,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,C15H14N4O2S,314.37,1.52
O=C1C=C(N2CC2)C(=O)C=C1N3CC3,O=C1C=C(N2CC2)C(=O)C=C1N1CC1,C10H10N2O2,190.202,0.18
Cc1cccc(C)c1C,Cc1cccc(C)c1C,C9H12,120.195,3.66
Cc1cccc(O)c1C,Cc1cccc(O)c1C,C8H10O,122.167,2.48
CC1=C(C)C(=O)C=CC1=O,CC1=C(C)C(=O)C=CC1=O,C8H8O2,136.15,1.23
CC1=C(C)C(=O)C(=C(C)C1=O)C,CC1=C(C)C(=O)C(C)=C(C)C1=O,C10H12O2,164.204,2.23
ClN(Cl)c1ccc(Cl)c(Cl)c1Cl,Clc1ccc(N(Cl)Cl)c(Cl)c1Cl,C6H2Cl5N,265.354,4.82
Cc1cc(C)c(C)c(C)c1,Cc1cc(C)c(C)c(C)c1,C10H14,134.222,4.1
Cc1cc(C)c(O)c(C)c1,Cc1cc(C)c(O)c(C)c1,C9H12O,136.194,2.73
CC1=CC(=O)C=C(C)C1=O,CC1=CC(=O)C=C(C)C1=O,C8H8O2,136.15,1.22
OC(=O)c1sccc1,O=C(O)c1cccs1,C5H4O2S,128.152,1.57
[O-][N+](=O)c1[nH]ccn1,O=[N+]([O-])c1ncc[nH]1,C3H3N3O2,113.076,0.15
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,C37H67NO12,717.938,3.12
CC(C)c1ccccc1C,Cc1ccccc1C(C)C,C10H14,134.222,4.38
Cc1ccccc1C(N)=O,Cc1ccccc1C(N)=O,C8H9NO,135.166,0.76
CN(Cc1cnc2nc(N)nc(N)c2n1)c3c(Cl)cc(cc3Cl)C(=O)NC(CCC(O)=O)C(O)=O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,C20H20Cl2N8O5,523.337,-0.1
Cc1ccccc1C#N,Cc1ccccc1C#N,C8H7N,117.151,2.21
Cc1ccccc1C=O,Cc1ccccc1C=O,C8H8O,120.151,2.26
Oc1cccc2CCCCc12,Oc1cccc2c1CCCC2,C10H12O,148.205,2.95
OCC(C(O)=O)c1ccccc1,O=C(O)C(CO)c1ccccc1,C9H10O3,166.176,0.77
NN(c1ccccc1)c2ccccc2,NN(c1ccccc1)c1ccccc1,C12H12N2,184.242,2.8
O=C1N2CCCC2=Nc3ccccc13,O=c1c2ccccc2nc2n1CCC2,C11H10N2O,186.214,1.07
COC1=CC(=O)C=C(OC)C1=O,COC1=CC(=O)C=C(OC)C1=O,C8H8O4,168.148,-0.06
COc1cc(cc(OC)c1O)C(O)=O,COc1cc(C(=O)O)cc(OC)c1O,C9H10O5,198.174,1.04
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,C14H10F3NO2,281.233,5.25
COc1ccccc1OCC(O)COC(N)=O,COc1ccccc1OCC(O)COC(N)=O,C11H15NO5,241.243,0.61
COc1ccc(cc1)C2=CC(=S)SS2,COc1ccc(-c2cc(=S)ss2)cc1,C10H8OS3,240.374,3.82
ClCC(=O)Nc1ccccc1,O=C(CCl)Nc1ccccc1,C8H8ClNO,169.611,1.28
CC(=O)Oc1ccccc1C,CC(=O)Oc1ccccc1C,C9H10O2,150.177,1.93
Cc1ncsc1CCCl,Cc1ncsc1CCCl,C6H8ClNS,161.657,2.12
Oc1ccccc1I,Oc1ccccc1I,C6H5IO,220.009,2.65
CN1CSC(=S)N(C)C1,CN1CSC(=S)N(C)C1,C5H10N2S2,162.283,0.63
CNC(=S)NC,CNC(=S)NC,C3H8N2S,104.178,-0.24
Cc1occc1,Cc1ccco1,C5H6O,82.102,1.85
S=C1SSC=C1,S=c1ccss1,C3H2S3,134.25,1.58
CC1=NCCN1,CC1=NCCN1,C4H8N2,84.122,0.52
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,C7H6N2O5,198.134,2.13
COc1cc(ccc1O)C(O)CO,COc1cc(C(O)CO)ccc1O,C9H12O4,184.191,-0.58
OC(=O)C1CCCCN1,O=C(O)C1CCCCN1,C6H11NO2,129.159,-2.31
CC(C)c1cccc(C)c1,Cc1cccc(C(C)C)c1,C10H14,134.222,4.5
OC(=O)c1cccc(Cl)c1,O=C(O)c1cccc(Cl)c1,C7H5ClO2,156.568,2.68
Clc1ccc(C(=O)NN)cc1,NNC(=O)c1ccc(Cl)cc1,C7H7ClN2O,170.599,1.18
CC(=C)C1CCC(=CC1)CO,C=C(C)C1CC=C(CO)CC1,C10H16O,152.237,3.17
CC(C)c1ccc(cc1)C(O)=O,CC(C)c1ccc(C(=O)O)cc1,C10H12O2,164.204,3.4
C#Cc1ccccc1,C#Cc1ccccc1,C8H6,102.136,2.53
CCc1ccncc1,CCc1ccncc1,C7H9N,107.156,1.65
CCc1cccnc1,CCc1cccnc1,C7H9N,107.156,1.66
COc1cccc(N)c1,COc1cccc(N)c1,C7H9NO,123.155,0.93
CNC(C)Cc1ccccc1,CNC(C)Cc1ccccc1,C10H15N,149.237,2.07
NNC(=O)Nc1ccccc1,NNC(=O)Nc1ccccc1,C7H9N3O,151.169,0.16
CC(=O)NC(Cc1ccc(O)cc1)C(O)=O,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,C11H13NO4,223.228,1.32
O[NH+]([O-])c1cccc(SSc2cccc(c2)[NH+](O)[O-])c1,[O-][NH+](O)c1cccc(SSc2cccc([NH+]([O-])O)c2)c1,C12H12N2O4S2,312.372,4.06
CC(=O)Nc1cccc(C)c1,CC(=O)Nc1cccc(C)c1,C9H11NO,149.193,1.68
NC(=O)NCc1ccccc1,NC(=O)NCc1ccccc1,C8H10N2O,150.181,0.73
OCC(O)COc1ccccc1,OCC(O)COc1ccccc1,C9H12O3,168.192,0.7
c1ccc(cc1)C=Nc2ccccc2,C(=Nc1ccccc1)c1ccccc1,C13H11N,181.238,2.82
CCCCCc1ccccc1,CCCCCc1ccccc1,C11H16,148.249,4.9
CNC=CCCc1cccnc1,CNC=CCCc1cccnc1,C10H14N2,162.236,1.13
COCc1ccccc1,COCc1ccccc1,C8H10O,122.167,1.92
CC(=O)Nc1ccc(Cl)cc1,CC(=O)Nc1ccc(Cl)cc1,C8H8ClNO,169.611,2.09
CCOCc1ccccc1,CCOCc1ccccc1,C9H12O,136.194,2.16
Fc1ccc(F)cc1,Fc1ccc(F)cc1,C6H4F2,114.094,2.13
Nc1ccc(I)cc1,Nc1ccc(I)cc1,C6H6IN,219.025,2.34
Oc1ccc(I)cc1,Oc1ccc(I)cc1,C6H5IO,220.009,2.91
CCCCl,CCCCl,C3H7Cl,78.542,2.04
NCC#N,N#CCN,C2H4N2,56.068,-1.37
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,C6H12O2,116.16,1.76
CCCC(N)=O,CCCC(N)=O,C4H9NO,87.122,-0.21
O=C1NC(=O)C=C1,O=C1C=CC(=O)N1,C4H3NO2,97.073,-0.29
Clc1cccc(Cl)c1,Clc1cccc(Cl)c1,C6H4Cl2,147.004,3.53
OC(NC(O)=O)C(Cl)(Cl)Cl,O=C(O)NC(O)C(Cl)(Cl)Cl,C3H4Cl3NO3,208.428,1.84
O=C1CCCCO1,O=C1CCCCO1,C5H8O2,100.117,-0.35
CC(C)CCC#N,CC(C)CCC#N,C6H11N,97.161,1.54
ClCCC#N,N#CCCCl,C3H4ClN,89.525,0.18
CCN=C=S,CCN=C=S,C3H5NS,87.147,1.47
CCCCCC(C)O,CCCCCC(C)O,C7H16O,116.204,2.31
CC(C)CCO[N+]([O-])=O,CC(C)CCO[N+](=O)[O-],C5H11NO3,133.147,2.84
CC(C)CCOCCC(C)C,CC(C)CCOCCC(C)C,C10H22O,158.285,4.25
N#CCCCC#N,N#CCCCC#N,C5H6N2,94.117,-0.72
C1C=CC=CC=C1,C1=CC=CCC=C1,C7H8,92.141,2.63
CCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCC(=O)O,C14H28O2,228.376,6.11
ClC(Cl)(Cl)C#N,N#CC(Cl)(Cl)Cl,C2Cl3N,144.388,2.09
CC12CCC(O)CC1CCC3C2CCC4(C)C(C(O)CC34O)C5=CC(=O)OC5,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)C(O)CC12O,C23H34O5,390.52,1.6
CC1OC(CC(O)C1O)OC2CCC3(C)C(CCC4C3CCC5(C)C(C(O)CC45O)C6=CC(=O)OC6)C2,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)CC(O)C1O,C29H44O8,520.663,1.77
O=[P](N1CC1)(N2CC2)N3CC3,O=P(N1CC1)(N1CC1)N1CC1,C6H12N3OP,173.156,-0.62
CC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,C10H13BrN2O3,289.129,1.47
CC1CCCC2(C)CC3OC(=O)C(=C)C3C=C12,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,C15H20O2,232.323,3.38
CC(=O)NO,CC(=O)NO,C2H5NO2,75.067,-1.59
Nc1ccc(cc1)[S](=O)(=O)Nc2ccc(cc2)[S](N)(=O)=O,Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,C12H13N3O4S2,327.387,0.35
CC(CCC(O)=O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,C24H40O5,408.579,2.8
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,C22H22FN3O2,379.435,3.5
CN1C(=O)c2ccccc2C1=O,CN1C(=O)c2ccccc2C1=O,C9H7NO2,161.16,1.31
S=C=Nc1cccc2ccccc12,S=C=Nc1cccc2ccccc12,C11H7NS,185.251,4.34
CCCCCC(OC(C)=O)/C=C/C1C=CC(=O)C1C\C=C\CCCC(=O)OC,CCCCCC(/C=C/C1C=CC(=O)C1C/C=C/CCCC(=O)OC)OC(C)=O,C23H34O5,390.52,4.39
CCC(Oc1ccccc1)C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O,CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,C18H22N2O5S,378.45,2.65
Cn1c(C)ncc1[N+]([O-])=O,Cc1ncc([N+](=O)[O-])n1C,C5H7N3O2,141.13,0.31
CC(=O)c1ccccc1N,CC(=O)c1ccccc1N,C8H9NO,135.166,1.63
OC(=O)c1ccccc1[N+]([O-])=O,O=C(O)c1ccccc1[N+](=O)[O-],C7H5NO4,167.12,1.46
CC(=O)Nc1ccccc1[N+]([O-])=O,CC(=O)Nc1ccccc1[N+](=O)[O-],C8H8N2O3,180.163,1
Oc1cc(O)c2C(=O)CC(Oc2c1)c3ccc(O)c(O)c3,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,C15H12O6,288.255,2.02
Cn1cnc2NC(=O)NC(=O)c12,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,C6H6N4O2,166.14,-0.89
CN(c1ccccc1)c2ccccc2,CN(c1ccccc1)c1ccccc1,C13H13N,183.254,3.9
OC(c1occc1)C(=O)c2occc2,O=C(c1ccco1)C(O)c1ccco1,C10H8O4,192.17,0.54
O=C1CCc2ccccc2N1,O=C1CCc2ccccc2N1,C9H9NO,147.177,1.34
CCCOc1ccc(cc1NC(C)=O)[N+]([O-])=O,CCCOc1ccc([N+](=O)[O-])cc1NC(C)=O,C11H14N2O4,238.243,1.6
c1cc(ccn1)c2ccncc2,c1cc(-c2ccncc2)ccn1,C10H8N2,156.188,1.28
ClCCN(c1ccccc1)CCCl,ClCCN(CCCl)c1ccccc1,C10H13Cl2N,218.127,2.9
CC(C)CCC(=O)c1cocc1,CC(C)CCC(=O)c1ccoc1,C10H14O2,166.22,2.76
COC(=O)C(=O)OC,COC(=O)C(=O)OC,C4H6O4,118.088,-0.17
CC1=CC(=O)C=CC1=O,CC1=CC(=O)C=CC1=O,C7H6O2,122.123,0.72
Nc1ccc(Cl)cc1Cl,Nc1ccc(Cl)cc1Cl,C6H5Cl2N,162.019,2.78
CCC(=O)OC,CCC(=O)OC,C4H8O2,88.106,0.84
Cc1sccc1,Cc1cccs1,C5H6S,98.17,2.33
CN1N=C(SC1=NC(C)=O)[S](N)(=O)=O,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,C5H8N4O3S2,236.278,0.13
CC1=CC2C(CC1)C2(C)C,CC1=CC2C(CC1)C2(C)C,C10H16,136.238,4.44
Oc1cccc(c1)[N+]([O-])=O,O=[N+]([O-])c1cccc(O)c1,C6H5NO3,139.11,2
COc1cccc(c1)[N+]([O-])=O,COc1cccc([N+](=O)[O-])c1,C7H7NO3,153.137,2.16
[O-][N+](=O)c1ccc(C=O)cc1,O=Cc1ccc([N+](=O)[O-])cc1,C7H5NO3,151.121,1.56
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,C12H16Cl2N2O,275.179,4.1
CC(=O)Nc1ccc(cc1)C(O)=O,CC(=O)Nc1ccc(C(=O)O)cc1,C9H9NO3,179.175,1.31
COC(=O)CC(C)C,COC(=O)CC(C)C,C6H12O2,116.16,1.82
NCC(=O)NCC(=O)NCC(O)=O,NCC(=O)NCC(=O)NCC(=O)O,C6H11N3O4,189.171,-2.68
NCC(=O)NCC(O)=O,NCC(=O)NCC(=O)O,C4H8N2O3,132.119,-2.92
OCC1CO1,OCC1CO1,C3H6O2,74.079,-0.95
CN=C=S,CN=C=S,C2H3NS,73.12,0.94
CCO[P](C)(=O)SCCSCC,CCOP(C)(=O)SCCSCC,C7H17O2PS2,228.319,1.48
CCCOC,CCCOC,C4H10O,74.123,1.21
CCCC(=O)OCC(O)CO,CCCC(=O)OCC(O)CO,C7H14O4,162.185,-0.17
CC(Cl)=C,C=C(C)Cl,C3H5Cl,76.526,2
C[S](F)(=O)=O,CS(=O)(=O)F,CH3FO2S,98.098,0.55
CN1CC[C@]23[C@H]4Oc5c(OC(C)=O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4OC(C)=O)c35,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,C21H23NO5,369.417,1.58
BrC(=C)CC1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,C10H11BrN2O3,287.113,1.37
CCOC(=O)C1(CCN(CCC(O)c2ccccc2)CC1)c3ccccc3,CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,C23H29NO3,367.489,4.04
CC(C)C1(O)CCC(=CC1)C,CC1=CCC(O)(C(C)C)CC1,C10H18O,154.253,3.26
CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,C9H22O4P2S4,384.487,5.07
CC(C)C(C)=O,CC(=O)C(C)C,C5H10O,86.134,0.84
C1OC1C2CO2,C1OC1C1CO1,C4H6O2,86.09,-0.28
CC(C)C(=O)C(C)C,CC(C)C(=O)C(C)C,C7H14O,114.188,1.86
Cc1cccc2cccc(C)c12,Cc1cccc2cccc(C)c12,C12H12,156.228,4.38
Cc1ccc(C)c2ccccc12,Cc1ccc(C)c2ccccc12,C12H12,156.228,4.37
Oc1ccc(O)c2ccccc12,Oc1ccc(O)c2ccccc12,C10H8O2,160.172,1.9
Cc1cccc2c(C)cccc12,Cc1cccc2c(C)cccc12,C12H12,156.228,4.38
Cc1ccc2ccccc2c1C,Cc1ccc2ccccc2c1C,C12H12,156.228,4.31
ON=C(c1ccccc1)c2ccccc2,ON=C(c1ccccc1)c1ccccc1,C13H11NO,197.237,3.2
Cc1ccc2cccc(C)c2c1,Cc1ccc2cccc(C)c2c1,C12H12,156.228,4.44
Oc1ccc2cccc(O)c2c1,Oc1ccc2cccc(O)c2c1,C10H8O2,160.172,1.94
Cc1cc(C)c2ccccc2c1,Cc1cc(C)c2ccccc2c1,C12H12,156.228,4.42
Oc1cccc(Cl)c1Cl,Oc1cccc(Cl)c1Cl,C6H4Cl2O,163.003,2.84
Cc1cccc(C)c1O,Cc1cccc(C)c1O,C8H10O,122.167,2.36
[O-][N+](=O)c1ccccc1Br,O=[N+]([O-])c1ccccc1Br,C6H4BrNO2,202.007,2.52
CC(=O)c1ccccc1C(O)=O,CC(=O)c1ccccc1C(=O)O,C9H8O3,164.16,0.81
CC(=O)c1ccccc1[N+]([O-])=O,CC(=O)c1ccccc1[N+](=O)[O-],C8H7NO3,165.148,1.28
CCc1ccccc1N,CCc1ccccc1N,C8H11N,121.183,1.74
COc1ccccc1Br,COc1ccccc1Br,C7H7BrO,187.036,2.86
COc1ccccc1C,COc1ccccc1C,C8H10O,122.167,2.74
Nc1cccc2cccnc12,Nc1cccc2cccnc12,C9H8N2,144.177,1.16
Oc1cccc2ncccc12,Oc1cccc2ncccc12,C9H7NO,145.161,1.85
Nc1ccnc2ccccc12,Nc1ccnc2ccccc12,C9H8N2,144.177,1.63
O=C1N2C=CC=CC2=Nc3ccccc13,O=c1c2ccccc2nc2ccccn12,C12H8N2O,196.209,2.08
CN(C(C)=O)c1ccccc1,CC(=O)N(C)c1ccccc1,C9H11NO,149.193,1.12
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,C9H9Cl2NO2,234.082,1.78
